City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rosarito,32.33,-117.03,73.4,28,1,8.05,MX,1603930483
san ramon,37.78,-121.98,75,26,0,1.01,US,1603930484
ushuaia,-54.8,-68.3,39.27,86,51,4.81,AR,1603930037
saskylakh,71.92,114.08,2.7,90,97,9.93,RU,1603930327
kruisfontein,-34,24.73,61,93,67,3.04,ZA,1603930487
conceicao do araguaia,-8.26,-49.26,80.51,70,66,0.81,BR,1603930488
hobart,-42.88,147.33,66,56,21,2.73,AU,1603930337
codrington,-38.27,141.97,57.99,70,70,8.99,AU,1603930236
new norfolk,-42.78,147.06,66,37,5,2.13,AU,1603930491
tiksi,71.69,128.87,-0.04,89,99,15.52,RU,1603930492
busselton,-33.65,115.33,60.01,70,0,10,AU,1603930201
mataura,-46.19,168.86,57.99,76,96,4,NZ,1603930494
lavrentiya,65.58,-171,27.34,86,98,3.2,RU,1603930207
albany,42.6,-73.97,46.99,89,59,3.2,US,1603930203
jamestown,42.1,-79.24,45,89,64,1.01,US,1603930498
bajil,15.06,43.29,81.32,58,0,4.5,YE,1603930499
kodiak,57.79,-152.41,40.62,69,59,4.45,US,1603930500
airai,-8.93,125.41,71.11,62,89,2.71,TL,1603930210
ambilobe,-13.2,49.05,72.01,80,0,4.5,MG,1603930502
saint-philippe,-21.36,55.77,69.8,64,0,5.82,RE,1603930504
georgetown,5.41,100.34,78.01,94,100,3,MY,1603930452
clyde river,70.47,-68.59,15.57,90,98,6.15,CA,1603930507
wenzhou,28,120.67,69.01,64,100,2.55,CN,1603930508
jibuti,11.5,42.5,71.24,75,0,12.24,DJ,1603930510
grand gaube,-20.01,57.66,71.01,75,46,5.99,MU,1603930511
mitsamiouli,-11.38,43.28,78.17,75,35,7.56,KM,1603930512
shaowu,27.34,117.48,67.5,79,100,2.35,CN,1603930513
kargil,34.57,76.1,28.09,81,22,4.97,IN,1603930515
punta arenas,-53.15,-70.92,46,70,89,18.99,CL,1603930516
saint george,37.1,-113.58,71.6,12,1,5.82,US,1603930404
kavieng,-2.57,150.8,84.87,65,100,4.34,PG,1603930518
taolanaro,,,,,,,,
nantucket,41.28,-70.1,55.99,94,82,11.99,US,1603930473
hermanus,-34.42,19.23,63,68,87,10.87,ZA,1603930507
port moresby,-9.44,147.18,80.6,83,75,5.82,PG,1603930523
flinders,-34.58,150.86,66,81,96,1.99,AU,1603930524
rikitea,-23.12,-134.97,75,82,76,11.7,PF,1603930520
qaanaaq,77.48,-69.36,7.52,73,9,11.21,GL,1603930527
deputatskiy,69.3,139.9,-5.35,91,86,1.45,RU,1603930528
kapaa,22.08,-159.32,79,70,34,11.32,US,1603930527
halifax,44.65,-63.57,37,88,17,6.22,CA,1603930297
nanortalik,60.14,-45.24,32.47,93,100,13,GL,1603930531
ibra,22.69,58.53,62.46,44,0,4.07,OM,1603930533
lagoa,39.05,-27.98,65.32,78,2,9.82,PT,1603930534
castro,-24.79,-50.01,63.54,50,0,2.06,BR,1603930274
butaritari,3.07,172.79,81.32,71,100,3.53,KI,1603930216
ilulissat,69.22,-51.1,14,61,100,5.82,GL,1603930537
a,,,,,,,,
mount gambier,-37.83,140.77,48.87,98,100,3.27,AU,1603930254
dikson,73.51,80.55,3.06,90,1,22.59,RU,1603930327
port alfred,-33.59,26.89,66.61,84,95,5.28,ZA,1603930536
urumqi,43.8,87.6,37.92,74,18,5.23,CN,1603930333
vila,42.03,-8.16,46,92,8,1.01,PT,1603930544
mrirt,,,,,,,,
illoqqortoormiut,,,,,,,,
qinhuangdao,39.93,119.59,50.45,44,60,2.28,CN,1603930547
san cristobal,7.77,-72.22,68.16,89,94,1.39,VE,1603930510
funtua,11.52,7.31,70.65,34,1,1.99,NG,1603930549
hilo,19.73,-155.09,80.01,83,47,1.99,US,1603930527
altamira,-3.2,-52.21,79.54,75,92,2.91,BR,1603930552
atuona,-9.8,-139.03,77.72,75,52,12.64,PF,1603930535
rudbar,30.15,62.6,49.08,48,0,9.44,AF,1603930554
vila franca do campo,37.72,-25.43,66,76,35,7.99,PT,1603930556
ancud,-41.87,-73.82,50,92,81,5.01,CL,1603930320
bredasdorp,-34.53,20.04,63,68,100,4.18,ZA,1603930534
ponta do sol,32.67,-17.1,63,65,92,1.99,PT,1603930511
karla,59.37,24.93,50,70,100,7,EE,1603930560
vaini,-21.2,-175.2,73.27,72,1,20.67,TO,1603930325
hasaki,35.73,140.83,63,82,1,1.99,JP,1603930357
zhenlai,45.85,123.3,34.36,74,0,4.25,CN,1603930564
san policarpo,12.18,125.51,83.19,78,82,10.94,PH,1603930565
barentsburg,,,,,,,,
bethel,41.37,-73.41,52,95,94,4.5,US,1603930541
zalantun,48,122.72,30.88,80,0,4.03,CN,1603930569
terney,45.05,136.61,41.63,66,9,20.85,RU,1603930570
iqaluit,63.75,-68.51,10.09,91,53,3.71,CA,1603930571
mar del plata,-38,-57.56,55.99,65,96,5.99,AR,1603930572
bluff,-46.6,168.33,57.99,76,100,4,NZ,1603930516
souillac,-20.52,57.52,71.01,75,80,5.99,MU,1603930222
vardo,70.37,31.11,38.57,92,85,14.36,NO,1603930576
merauke,-8.47,140.33,82.08,68,71,4.99,ID,1603930577
puerto ayora,-0.74,-90.35,69.01,92,97,1.99,EC,1603930513
east london,-33.02,27.91,68.14,85,99,2.98,ZA,1603930526
lolua,,,,,,,,
punta umbria,37.18,-6.97,62.01,71,26,3,ES,1603930581
blackpool,53.82,-3.05,52,86,70,11.01,GB,1603930583
kenosha,42.57,-88.05,44.01,50,70,3,US,1603930584
ketchikan,55.34,-131.65,46.13,75,47,1.21,US,1603930585
colac,-38.33,143.58,63,96,58,7.76,AU,1603930586
leh,34.17,77.58,28.08,76,0,3.51,IN,1603930587
cape town,-33.93,18.42,61,89,100,5.01,ZA,1603930296
korla,41.76,86.15,46.2,52,55,11.25,CN,1603930589
kachiry,53.07,76.1,27.05,94,18,8.34,KZ,1603930511
illapel,-31.63,-71.17,55.63,63,0,1.68,CL,1603930592
luwuk,-0.95,122.79,83.75,63,81,3.51,ID,1603930518
arraial do cabo,-22.97,-42.03,75.16,93,0,13.15,BR,1603930547
hithadhoo,-0.6,73.08,83.1,74,3,11.88,MV,1603930521
lethem,3.38,-59.8,85.95,57,94,5.79,GY,1603930596
port elizabeth,-33.92,25.57,61,93,74,2.08,ZA,1603930524
longyearbyen,78.22,15.64,21.74,94,99,5.82,SJ,1603930532
mahebourg,-20.41,57.7,71.01,75,80,5.01,MU,1603930539
pasaco,13.98,-90.21,77.45,86,93,1.52,GT,1603930601
dibulla,11.27,-73.31,80.11,81,67,4.5,CO,1603930602
mackay,-21.15,149.2,84.99,31,0,1.45,AU,1603930552
koupela,12.18,-0.35,76.3,19,0,4.12,BF,1603930604
fortuna,40.6,-124.16,64.99,55,20,12.75,US,1603930516
cam ranh,11.92,109.16,78.03,73,98,4.23,VN,1603930606
hazorasp,41.32,61.07,34.16,82,0,10.58,UZ,1603930607
attawapiskat,,,,,,,,
vallenar,-28.57,-70.76,63.41,46,0,4.52,CL,1603930609
belmonte,-15.86,-38.88,77.7,88,100,10.85,BR,1603930611
henties bay,-22.12,14.28,57.99,89,27,3,NA,1603930567
san patricio,28.02,-97.52,64,51,0,6.24,US,1603930288
zabol,32.25,67.25,36.32,62,0,2.04,AF,1603930614
ostrovnoy,68.05,39.51,37.04,88,74,16.73,RU,1603930253
dongsheng,39.82,109.98,35.98,79,28,5.3,CN,1603930616
lorengau,-2.02,147.27,85.93,63,53,2.71,PG,1603930537
belushya guba,,,,,,,,
taoudenni,22.68,-3.98,81.63,16,37,12.64,ML,1603930600
orlik,52.52,99.83,21.94,82,77,2.35,RU,1603930621
huarmey,-10.07,-78.15,64.26,81,44,9.44,PE,1603930622
morgan city,29.7,-91.21,73.99,95,100,11.99,US,1603930623
malindi,-3.22,40.12,77.09,84,13,10.78,KE,1603930624
esperance,-33.87,121.9,60.13,58,0,11.12,AU,1603930625
vestmanna,62.16,-7.17,44.96,87,94,11.61,FO,1603930626
caravelas,-17.71,-39.25,78.4,83,100,13.38,BR,1603930628
santa maria,-29.68,-53.81,69.8,64,0,1.12,BR,1603930595
katsuura,35.13,140.3,68,50,2,4,JP,1603930591
cabo san lucas,22.89,-109.91,80.01,61,13,3,MX,1603930265
luderitz,-26.65,15.16,59.83,68,94,13.31,NA,1603930632
vanavara,60.34,102.28,23.47,98,100,8.37,RU,1603930633
erzin,36.96,36.2,73,78,2,1.61,TR,1603930634
amderma,,,,,,,,
hay river,60.82,-115.8,19.62,96,21,3.09,CA,1603930637
berzovia,45.43,21.63,51.01,90,41,1.95,RO,1603930638
bam,29.11,58.36,60.57,28,0,12.41,IR,1603930639
norman wells,65.28,-126.83,18.59,96,88,3.2,CA,1603930284
dunkirk,51.05,2.37,52,79,73,5.01,FR,1603930515
rundu,-17.93,19.77,68.65,60,29,4.88,NA,1603930642
mions,45.66,4.95,55,78,100,4.65,FR,1603930643
tazovskiy,67.47,78.7,-3.35,87,0,5.97,RU,1603930644
san angelo,31.46,-100.44,51.01,52,0,4,US,1603930604
belle fourche,44.67,-103.85,39,82,67,4.68,US,1603930531
shchelyayur,,,,,,,,
norwich,52.63,1.3,45,87,33,4,GB,1603930648
wencheng,33.06,113.8,53.71,51,26,3.56,CN,1603930650
poronaysk,49.22,143.12,45.36,77,98,13.56,RU,1603930651
nikolskoye,59.7,30.79,44.01,96,65,8.21,RU,1603930516
peterhead,57.51,-1.8,39,62,100,13.69,GB,1603930653
usevya,-7.1,31.23,77.31,48,65,5.23,TZ,1603930654
muroto,33.28,134.15,67.1,69,39,9.84,JP,1603930627
muhos,64.81,25.99,46,99,97,3,FI,1603930656
chickasha,35.05,-97.94,35.01,94,98,5.99,US,1603930657
helong,42.54,129,36.37,66,0,6.73,CN,1603930659
nizhneyansk,,,,,,,,
fort saint john,,,,,,,,
victoria,22.29,114.16,77,73,98,1.99,HK,1603930311
bodden town,19.28,-81.25,82.99,85,0,11.01,KY,1603930663
pisco,-13.7,-76.22,63,85,27,14,PE,1603930550
berbera,10.44,45.01,80.15,64,9,5.97,SO,1603930624
los andes,-32.83,-70.6,69.01,34,0,2.17,CL,1603930459
aykino,62.22,49.99,39.81,90,78,10.29,RU,1603930667
ulaangom,49.98,92.07,25.9,92,27,0.38,MN,1603930668
porto novo,6.5,2.6,78.46,86,24,6.38,BJ,1603930670
coquimbo,-29.95,-71.34,56.77,69,0,4.79,CL,1603930416
pangnirtung,66.15,-65.71,8.56,80,24,4.65,CA,1603930546
isangel,-19.55,169.27,78.85,62,15,16.37,VU,1603930530
george town,5.41,100.34,78.01,94,100,3,MY,1603930674
port hardy,50.7,-127.42,51.8,94,100,19.46,CA,1603930563
praia da vitoria,38.73,-27.07,66.99,89,36,8.01,PT,1603930676
singaraja,-8.11,115.09,84.07,65,43,1.57,ID,1603930677
tanete,-3.94,119.78,85.21,64,37,7.27,ID,1603930678
melenki,55.33,41.63,34.84,85,0,7.23,RU,1603930680
lac du bonnet,50.25,-96.06,26.01,70,42,4,CA,1603930681
yellowknife,62.46,-114.35,23,97,96,3.24,CA,1603930450
constitucion,-35.33,-72.42,55.09,66,0,14.7,CL,1603930589
sioux lookout,50.1,-91.92,23.76,91,97,6.89,CA,1603930563
torbay,47.67,-52.73,35.01,84,94,3.51,CA,1603930548
aqtobe,50.28,57.21,33.26,86,3,3.94,KZ,1603930686
kyren,51.68,102.14,30.97,88,89,1.3,RU,1603930687
sarangani,5.4,125.46,83.46,71,88,3.78,PH,1603930688
marsh harbour,26.54,-77.06,81.21,79,31,15.61,BS,1603930616
shimoda,34.67,138.95,64,68,14,1.01,JP,1603930690
daan,33.06,106.3,48.15,83,54,1.97,CN,1603930692
lebu,-37.62,-73.65,49.77,72,16,19.77,CL,1603930514
ust-maya,60.42,134.53,10.2,94,100,3.33,RU,1603930694
bacuit,,,,,,,,
kupang,-10.17,123.58,86.16,58,78,3.15,ID,1603930696
buchanan,5.88,-10.05,77.9,90,93,5.99,LR,1603930697
charlestown,-32.95,151.67,64.99,94,72,5.88,AU,1603930698
uyo,5.03,7.93,75.33,94,100,1.23,NG,1603930699
crossville,35.95,-85.03,66,98,100,5.01,US,1603930700
carnarvon,-24.87,113.63,74.75,54,0,11.65,AU,1603930585
pevek,69.7,170.31,21.31,95,100,16.6,RU,1603930532
sedalia,38.7,-93.23,44.01,94,100,1.99,US,1603930698
coihaique,-45.58,-72.07,39.18,84,39,7.14,CL,1603930610
moron,-34.65,-58.62,59,90,65,1.01,AR,1603930706
barrow,71.29,-156.79,23,62,75,7.07,US,1603930513
gao,16.64,1.64,79.99,15,0,6.17,ML,1603930708
toropets,56.5,31.64,46.09,94,74,8.95,RU,1603930709
abu zabad,12.35,29.25,79.84,26,1,8.23,SD,1603930710
abu samrah,35.3,37.18,68.25,52,98,4.85,SY,1603930711
birjand,32.87,59.22,39.13,62,0,6.53,IR,1603930712
saleaula,,,,,,,,
severo-kurilsk,50.68,156.12,44.6,79,73,8.1,RU,1603930517
halalo,,,,,,,,
saint anthony,45.02,-93.22,42.8,96,1,4.7,US,1603930717
boffa,10.17,-14.03,77.25,91,58,3.53,GN,1603930718
paamiut,61.99,-49.67,27.5,87,92,14.09,GL,1603930570
boyuibe,-20.42,-63.28,78.51,48,5,5.44,BO,1603930720
fujin,47.26,132.03,34.86,85,60,14.97,CN,1603930721
kapit,2.02,112.93,77.11,91,99,1.95,MY,1603930722
teya,60.38,92.63,20.75,94,100,11.01,RU,1603930618
consuegra,39.46,-3.61,53.01,94,10,0.96,ES,1603930724
jambi,-1.6,103.62,75.15,92,100,3.53,ID,1603930725
bandarbeyla,9.49,50.81,77.23,86,17,3.71,SO,1603930575
houma,29.6,-90.72,75,93,100,11.01,US,1603930727
north platte,41.12,-100.77,42.01,70,59,15.95,US,1603930607
richards bay,-28.78,32.04,76.41,63,98,18.1,ZA,1603930532
gladstone,-23.85,151.25,81.39,53,0,6.87,AU,1603930731
samusu,,,,,,,,
ayabaca,-4.64,-79.71,55.44,86,97,3.74,PE,1603930733
matara,5.95,80.54,76.3,90,60,5.97,LK,1603930556
faya,18.39,42.45,50.31,45,0,5.57,SA,1603930555
leirvik,59.78,5.5,46.99,95,100,5.01,NO,1603930736
kununurra,-15.77,128.73,91.53,41,52,5.59,AU,1603930737
kazalinsk,,,,,,,,
mongo,12.18,18.69,82.45,33,64,2.21,TD,1603930739
gijon,43.54,-5.66,54,87,66,3.56,ES,1603930515
mareeba,-17,145.43,89.01,61,0,1.01,AU,1603930742
novominskaya,46.32,38.96,54.23,78,85,13.29,RU,1603930743
baghdad,33.34,44.4,67.86,23,17,5.17,IQ,1603930744
chuy,-33.7,-53.46,57.24,82,89,11.99,UY,1603930543
davila,18.47,120.58,81.66,79,100,14.05,PH,1603930746
yerbogachen,61.28,108.01,17.35,86,100,15.75,RU,1603930469
tsihombe,,,,,,,,
sao joao da barra,-21.64,-41.05,76.84,91,0,18.97,BR,1603930232
rafraf,37.19,10.18,64.29,71,6,15.88,TN,1603930750
banda aceh,5.56,95.32,80.58,70,100,10.51,ID,1603930711
yumen,40.28,97.2,31.26,89,0,6.73,CN,1603930624
provideniya,64.38,-173.3,26.8,89,74,2.1,RU,1603930538
broome,42.25,-75.83,45,97,56,4.83,US,1603930571
daru,-9.08,143.21,81.54,80,20,7.58,PG,1603930533
hamilton,39.18,-84.53,53.01,87,100,1.99,US,1603930504
pandan,14.05,124.17,83.26,77,73,10.16,PH,1603930758
salima,-13.78,34.46,76.3,60,56,4.83,MW,1603930759
pantai remis,4.46,100.63,79.95,79,99,3.31,MY,1603930760
flin flon,54.77,-101.86,18.73,86,57,1.77,CA,1603930675
high level,58.52,-117.14,28.4,92,90,2.59,CA,1603930762
smithers,54.78,-127.17,39.06,81,98,0.74,CA,1603930505
pasni,25.26,63.47,75.47,36,0,27.6,PK,1603930765
honghu,29.82,113.46,58.35,77,63,4.27,CN,1603930766
lexington,37.99,-84.48,57.99,90,100,3.98,US,1603930720
baie-saint-paul,47.44,-70.5,34,90,100,7,CA,1603930476
goderich,43.75,-81.72,51.01,69,27,18.07,CA,1603930769
micheweni,-4.97,39.83,76.89,82,35,9.15,TZ,1603930770
carlyle,38.61,-89.37,48,92,100,5.01,US,1603930576
luanda,-8.84,13.23,75.38,87,67,8.16,AO,1603930537
santa cruz,-17.8,-63.17,86.67,50,5,10.42,BO,1603930619
sola,-13.88,167.55,80.56,79,10,19.44,VU,1603930754
upata,8.01,-62.4,87.01,64,33,5.1,VE,1603930775
cherskiy,68.75,161.3,5.81,94,98,4.5,RU,1603930584
bubaque,11.28,-15.83,83.28,78,56,11.97,GW,1603930778
gerash,27.67,54.14,59.16,62,0,1.99,IR,1603930779
cayenne,4.93,-52.33,81.16,82,31,10.56,GF,1603930521
upernavik,72.79,-56.15,12.67,83,29,11.12,GL,1603930580
prince rupert,54.32,-130.32,46.4,93,100,3.98,CA,1603930782
grindavik,63.84,-22.43,46.4,42,0,20.8,IS,1603930783
grand river south east,,,,,,,,
saquena,-4.67,-73.52,79.74,88,82,4.47,PE,1603930785
caucaia,-3.74,-38.65,80.01,75,13,21,BR,1603930567
sitka,57.05,-135.33,45.95,71,33,3.78,US,1603930519
sao filipe,14.9,-24.5,80.26,75,26,2.39,CV,1603930580
hurghada,27.26,33.81,73.98,76,0,12.26,EG,1603930789
kloulklubed,7.04,134.26,84.38,72,18,10.76,PW,1603930526
bengkulu,-3.8,102.27,76.6,81,100,3.51,ID,1603930530
klaksvik,62.23,-6.59,47.97,81,94,16.11,FO,1603930591
haibowan,,,,,,,,
grand centre,,,,,,,,
colares,38.8,-9.45,62.01,76,31,5.03,PT,1603930621
raudeberg,61.99,5.14,46,87,100,23.44,NO,1603930797
shache,38.42,77.24,39.97,60,100,1.63,CN,1603930798
yabucoa,18.05,-65.88,77,94,32,1.01,PR,1603930799
pathein,16.78,94.73,74.7,93,98,3.76,MM,1603930800
vestmannaeyjar,63.44,-20.27,45.25,80,97,40.62,IS,1603930521
chapais,49.78,-74.85,30.87,98,100,10.16,CA,1603930803
louisbourg,,,,,,,,
tawkar,,,,,,,,
pyshchug,58.89,45.71,37.87,92,100,6.51,RU,1603930806
pochutla,15.74,-96.47,80.01,88,77,1.88,MX,1603930807
mocambique,,,,,,,,
nishihara,26.18,127.76,78.01,69,31,11.01,JP,1603930556
wangkui,46.83,126.5,31.59,87,0,8.9,CN,1603930810
lasa,46.62,10.7,43,89,76,1.88,IT,1603930615
avarua,-21.21,-159.78,72.68,81,40,17.45,CK,1603930511
khatanga,71.97,102.5,-1.08,86,0,6.8,RU,1603930239
ormond beach,29.29,-81.06,81,87,65,11.99,US,1603930521
khonuu,,,,,,,,
russell,32.35,-85.2,75.99,92,100,1.01,US,1603930817
